,ele_load,p_el,p_hp,p_eb,p_pv_hour,p_fc_hour,p_bs_hour,p_bs_ch_hour,p_bs_di_hour,g_ht,g_ht_ch,g_ht_di,g_hp,g_eb,g_fc_hour,g_demand,water_load,total_g_load,g_rh,h_fc_hour,h_el,h_hs,h_pur
0,184.5280382,0,310.2366811,0,0,494.7647193,1002.728964,0,0,1684.322256,0,0,1365.041397,0,593.7176631,1929.528807,29.230253,1958.75906,0,30.92279495,0,0,62.50748608
1,189.7325417,0,315.6225163,0,0,505.355058,1002.728964,0,0,1684.322256,0,0,1388.739072,0,606.4260696,1990.603194,4.561947,1995.165141,0,31.58469112,0,31.58469112,0
2,195.5581075,0,323.5260726,0,0,519.0841801,1002.728964,0,0,1684.322256,0,0,1423.514719,0,622.9010161,2044.219242,2.196493,2046.415735,0,32.44276126,0,0,65.81226596
3,201.8387589,0,332.0733164,0,0,533.9120752,1002.728964,0,0,1684.322256,0,0,1461.122592,0,640.6944903,2101.817082,0,2101.817082,0,33.3695047,0,33.3695047,0
4,208.4333978,0,338.5663093,0,0,546.9997071,1002.728964,0,0,1684.322256,0,15.76941559,1489.691761,0,656.3996485,2159.664332,2.196493,2161.860825,0,34.18748169,0,0,34.18748169
5,213.2856583,0,338.5663093,0,0,551.8519675,1002.728964,0,0,1666.800683,0,54.43784225,1489.691761,0,662.222361,2201.790017,4.561947,2206.351964,0,34.49074797,0,0,34.49074797
6,218.7567297,0,338.5663093,0,0,557.323039,1002.728964,0,0,1606.314191,0,109.9988753,1489.691761,0,668.7876468,2232.48959,35.988693,2268.478283,0,34.83268994,0,0,34.83268994
7,224.3827214,0,338.5663093,0,0,562.9490307,1002.728964,0,0,1484.093219,0,180.8876184,1489.691761,0,675.5388368,2244.741616,101.3766,2346.118216,0,35.18431442,0,0,71.41234901
8,244.4594373,0,338.5663093,0,3.377192982,579.6485536,1002.728964,0,0,1283.106976,0,354.9184568,1489.691761,0,695.5782643,2405.019682,135.1688,2540.188482,0,36.2280346,0,36.2280346,0
9,222.305465,0,338.5663093,0,74.53947368,486.3323006,1002.728964,0,0,888.7531353,0,255.1156964,1489.691761,0,583.5987608,2224.833125,103.573093,2328.406218,0,30.39576879,0,0,30.39576879
10,192.8027132,0,338.5663093,0,119.4078947,411.9611278,1002.728964,0,0,605.2912504,0,57.34060666,1489.691761,0,494.3533533,1991.880148,49.505573,2041.385721,0,25.74757048,0,0,25.74757048
11,172.7464852,0,338.5663093,0,138.4649123,372.8478822,1002.728964,0,0,541.5794653,62.41505826,0,1489.691761,0,447.4174587,1793.592881,81.10128,1874.694161,0,23.30299264,0,0,42.15828619
12,150.2382661,0,321.5122201,0,170.0657895,301.6846968,1002.728964,0,0,597.7530177,116.9398287,0,1414.653769,0,362.0216361,1610.230003,49.505573,1659.735576,0,18.85529355,0,18.85529355,0
13,125.9711179,0,338.5663093,0,335.4276316,104.7828944,923.8704606,1.573635458,25.90053664,702.9988635,182.6308663,0,1489.691761,0,125.7394732,1405.766608,27.03376,1432.800368,0,6.548930898,0,0,19.4681192
14,99.41144215,0,338.5663093,0,214.4517544,206.7070129,634.9945082,17.65001475,34.46899889,867.3666432,537.4629574,0,1489.691761,0,248.0484155,1159.726579,40.55064,1200.277219,0,12.91918831,0,12.91918831,0
15,118.2872694,0,338.5663093,0,205.0438596,228.6776522,402.7452816,0,23.13206684,1351.083305,370.2655008,0,1489.691761,0,274.4131826,1294.828297,99.011146,1393.839443,0,14.29235326,0,0,30.1052897
16,105.4797425,0,217.0009247,0,69.47368421,253.0069829,167.121494,0,0,1684.322256,0,0,954.8040686,0,303.6083795,1208.906875,49.505573,1258.412448,0,15.81293643,0,15.81293643,0
17,120.4863941,0,224.7704291,0,0,345.2568232,167.121494,0,0,1684.322256,0,0,988.989888,0,414.3081879,1328.955236,74.34284,1403.298076,0,21.57855145,0,0,21.57855145
18,142.2868039,0,251.6540728,0,0,393.9408767,167.121494,0,0,1684.322256,0,0,1107.27792,0,472.729052,1550.776719,29.230253,1580.006972,0,24.62130479,0,0,51.47944299
19,156.0193768,0,273.7108344,0,0,429.7302112,167.121494,0,0,1684.322256,0,0,1204.327671,0,515.6762535,1650.223032,69.780893,1720.003925,0,26.8581382,0,26.8581382,0
20,170.1525279,0,297.6658256,0,0,467.8183535,167.121494,0,0,1684.322256,0,0,1309.729632,0,561.3820242,1742.701297,128.41036,1871.111657,0,29.23864709,0,0,29.23864709
21,161.2051235,0,287.9298631,0,0,449.1349866,167.121494,0,0,1684.322256,0,0,1266.891398,0,538.9619839,1641.454329,164.399053,1805.853382,0,28.07093666,0,0,28.07093666
22,163.1047361,0,284.5411001,0,0,447.6458362,167.121494,0,0,1684.322256,0,0,1251.980841,0,537.1750035,1705.858071,83.297773,1789.155844,0,27.97786476,0,0,56.26104071
23,166.4131047,0,286.1177104,0,0,452.5308151,167.121494,0,0,1684.322256,0,0,1258.917926,0,543.0369781,1759.207771,42.747133,1801.954904,0,28.28317594,0,28.28317594,0
24,132.5762789,0,321.9488246,0,0,454.5251035,167.121494,0,0,1684.322256,471.0990451,0,1416.574828,0,545.4301242,1466.562731,24.343176,1490.905907,0,28.40781897,0,0,28.40781897
25,135.7375997,0,279.2554839,0,0,414.9930836,167.121494,0,0,2108.311396,216.0085176,0,1228.724129,0,497.9917003,1506.908088,3.799224,1510.707312,0,25.93706772,0,0,25.93706772
26,140.3947298,0,321.9488246,0,0,462.3435544,167.121494,0,0,2302.719062,419.7413741,0,1416.574828,0,554.8122653,1549.816463,1.829256,1551.645719,0,28.89647215,0,0,28.89647215
27,145.3223794,0,321.9488246,0,0,467.271204,167.121494,0,0,2680.486299,382.2320354,0,1416.574828,0,560.7254448,1595.068237,0,1595.068237,0,29.20445025,0,0,58.65212054
28,149.2139001,0,321.9488246,0,0,471.1627247,167.121494,0,0,3024.495131,351.2481106,0,1416.574828,0,565.3952696,1628.892731,1.829256,1630.721987,0,29.44767029,0,29.44767029,0
29,152.7962992,0,305.9118715,0,0,458.7081707,167.121494,0,0,3340.61843,232.7994903,0,1346.012235,0,550.4498048,1659.863325,3.799224,1663.662549,0,28.66926067,0,0,87.45627829
30,157.505309,0,321.9488246,0,0,480.8493538,167.121494,1.395220198,0,3550.137971,276.8234222,0,1416.574828,0,577.0192245,1686.798974,29.971656,1716.77063,0,30.05308461,0,58.78701762,0
31,301.6842062,0,321.9488246,0,169.8245614,459.7429282,168.4469532,7.193645052,1.259186228,3799.279051,0,1063.919127,1416.574828,0,551.6915138,2947.758269,84.4272,3032.185469,0,28.73393301,0,28.73393301,0
32,312.5834921,0,338.5663093,154.5530144,502.2368421,306.8980769,284.9945264,3.432103235,0,2617.146688,0,1144.550233,1489.691761,139.0977129,368.2776923,3029.047799,112.5696,3141.617399,0,19.18112981,0,0,43.2807083
