,0,1,2,3,4,5,6,7,8,9,10,11
0,-1249.5316486311303,-5927.452216513702,-7161.270582635281,-10728.375655042899,-10952.39216332411,-8781.433074183791,-10138.830226970926,-10247.105913394427,-10377.21167771332,-10929.957132671658,-3927.2919099535466,33.54737859401571
1,-1357.507867219608,-5903.487258038019,-10736.693112964296,-10960.857637604558,-8882.953071040341,-10138.391304016091,-10326.631899455822,-10403.50759260761,-10952.93422889894,-3912.5259452237037,-30.80052231930796,
2,-1380.1585660985431,-5916.890306554372,-10754.151018939232,-10973.853119185418,-8953.894074925602,-10145.0308210854,-10344.810880068586,-10420.461482579798,-10967.522977701861,-3933.7587506227833,-14.816182279509519,
3,-1381.3508095370016,-5921.179737066938,-10765.905136875515,-10965.785231596488,-9000.550342135852,-10160.670359365366,-10336.67149469827,-10422.719135517476,-10977.438168497743,-3930.6359114959055,-4.2686327270024265,
4,-1384.3948850508182,-5924.356145332128,-10777.200980541887,-10959.187096283344,-9039.846410595484,-10184.90995643344,-10346.556579550577,-10441.896097994835,-10985.8985669288,-3930.0383095519464,-11.693562848194887,
5,-1361.70892588791,-6010.628445905136,-10787.60441662236,-11010.511838573619,-9068.847612803696,-10156.434909961274,-10355.739582291795,-10450.51487106801,-10993.192816591614,-3922.0201512634167,46.27138207264693,
6,-1335.7782123896905,-6152.447005740184,-10828.968204157252,-11019.670348363234,-9099.008866575627,-10174.368901693088,-10361.470292178657,-10438.053682161162,-10998.702562334915,-3910.2558593141603,74.37479591166368,
7,-1334.4753146565515,-6134.090809048434,-10844.095778168718,-11025.854420808973,-9111.09905589811,-10178.281824559326,-10364.411552968095,-10442.78563286974,-11012.008918241168,-3919.318348183068,79.64153694477523,
8,-1327.7729654322518,-6134.558113599825,-10848.236118655968,-11029.222700978358,-9130.152512185714,-10181.103750297498,-10366.220101720437,-10444.824718400341,-11014.758401505684,-3916.2273479332134,82.96865450696731,
9,-1328.694915801259,-6133.899802945029,-10851.898141056361,-11030.784955991148,-9136.749196707824,-10183.138869604465,-10367.517746165808,-10415.011092490835,-11017.11305466536,-3912.680469092232,82.01399472606423,
10,-1323.6269127269645,-6133.425043672734,-10854.315837411488,-11031.917944856317,-9141.646068208149,-10184.606559039936,-10368.435073268289,-10415.701647419974,-11018.687784538975,-3909.8655293825736,81.76086525502552,
11,-1317.0474785596543,-6134.523525681679,-10856.52329168511,-11032.735030783768,-9145.546054001607,-10185.977458214576,-10369.09663091133,-10416.201862031863,-11020.080046560619,-3907.5877564809543,81.9799807313702,
12,-1312.4064177445573,-6144.815483520135,-10857.94429696488,-11033.324294554923,-9158.669316238176,-10186.963281609196,-10369.57373279135,-10416.562628365198,-11020.989810253017,-3905.704958490276,73.63173017571495,
13,-1308.0569557679355,-6145.657864437046,-10859.29935000265,-11033.749260407616,-9160.494120649242,-10187.674238739997,-10369.9178096159,-10416.822806200611,-11021.828432229402,-3904.1137376844613,74.36754378901779,
14,-1305.0306179582174,-6146.555433089672,-10860.147140889494,-11034.055737718461,-9161.545579293776,-10188.186967535641,-10370.165951294113,-10417.01044151963,-11022.361689496372,-3902.7387083419926,75.23125635914658,
15,-1302.1204196935723,-6147.191306740273,-10860.994162404908,-11034.276763340786,-9162.30387132073,-10188.55673781643,-10370.344906364824,-10417.145760552019,-11022.876478011993,-3901.5247451892697,76.17271979067414,
16,-1300.124932502705,-6147.84899444378,-10861.507395986913,-11034.436162826476,-9162.850737144825,-10188.823409128265,-10370.473965366795,-10417.243689814586,-11023.193781462007,-3900.4316603326656,77.16608254793863,
17,-1298.1561357702133,-6148.324053660554,-10862.046091941755,-11034.551118697202,-9163.245126327101,-10189.015727395894,-10370.567040266202,-10417.315231219405,-11023.515772548408,-3899.429833990808,78.1786769697112,
18,-1296.8270421113732,-6148.8031245803095,-10862.361310045846,-11034.634022150472,-9163.52954949051,-10189.154422793878,-10370.634163953875,-10417.366824987046,-11023.707487654474,-3898.4976467399665,79.19571658132554,
19,-1295.4819907097942,-6140.125106092794,-10862.709546545675,-11034.693810548191,-9163.7346700801,-10189.254447283809,-10370.682572283988,-10417.40403343348,-11023.912569936672,-3897.7765340838964,80.36477648336128,
20,-1294.5886711777894,-6140.472737065145,-10862.90588612886,-11034.736928806366,-9163.882599157907,-10189.32658304845,-10370.717483453298,-10417.43086745916,-11024.030184338204,-3897.3269812003127,81.75219729747127,
21,-1293.7116241161739,-6140.682033535615,-10863.13441775655,-11034.768024876159,-9163.989282802424,-10189.378605993468,-10370.742660726277,-10417.450219649401,-11024.163051548476,-3896.906090564361,74.07221410159329,
