,0,1,2,3,4,5,6,7,8,9,10,11
0,-15925.709166354463,-15649.106889134613,-13550.88622561305,-10486.15600815862,-10941.022209530722,-10644.983769166522,-10983.276792560437,-10788.566678738256,-11153.441251695762,-10781.82413639098,-13625.337647271248,-16988.999272126362
1,-16050.720086419458,-15684.444281786924,-10489.458617166258,-10923.064544739413,-10644.405011030834,-10975.643412236564,-10825.830786918807,-11153.371347993547,-10782.093703845881,-13626.31236120646,-17102.70291869844,
2,-16129.522443747446,-15668.350778815196,-10486.537144355914,-10923.049742700183,-10640.97416361433,-10974.671803699539,-10825.464694214561,-11150.373158506221,-10778.83135500992,-13678.676420591213,-17122.517474983346,
3,-16168.822579939208,-15672.566218271693,-10483.739504513946,-10926.533899387738,-10637.841491080027,-10971.098454420191,-10825.087086659003,-11130.20303094834,-10775.739171389432,-13682.090013143144,-17141.75319315643,
4,-16219.959114962405,-15672.819447853859,-10489.992150744196,-10893.27081048689,-10644.116910667926,-10995.79553494075,-10831.033166455767,-11153.452026253273,-10782.316477816192,-13683.686281479304,-17179.433055512523,
5,-16253.470361919794,-15471.904841850754,-10501.588120913317,-10951.89082624648,-10654.148225888759,-10958.19965475999,-10840.8492173695,-11162.959671815988,-10792.882399189717,-13703.866459248155,-17274.73450787626,
6,-16297.974577093335,-15341.834333107596,-10534.510030215475,-10962.872359414283,-10681.360637585614,-10982.639049527535,-10849.719424930876,-11174.346192337924,-10801.662425505154,-13737.416825657308,-17397.67776913128,
7,-16285.60501501033,-15285.46276356639,-10556.062689784672,-10969.882580290967,-10687.116609499826,-10982.475826260192,-10851.476577266754,-11179.749044853581,-10825.458341826534,-13717.437207509727,-17441.051446175625,
8,-16293.539539844507,-15287.712886892814,-10559.888578748833,-10972.836726423146,-10709.861255026508,-10982.35811273634,-10851.526486226447,-11180.99625972311,-10829.52826609506,-13720.557807277142,-17477.02715177275,
9,-16320.09145855348,-15291.758522337243,-10564.154660701499,-10972.77736648489,-10714.023234842587,-10982.273219976078,-10851.563028495299,-11151.310422877848,-10833.9185429811,-13725.421652184237,-17471.61235564185,
10,-16326.790732540077,-15294.676157872156,-10566.801404300957,-10972.73457900829,-10716.57050935108,-10982.211996927921,-10851.590910589226,-11151.19606557827,-10836.604232613752,-13729.06139078093,-17468.245503811366,
11,-16333.02554791723,-15296.780279855833,-10569.60405108983,-10972.703712075716,-10719.352142247702,-10982.633759624368,-10851.611013719512,-11151.119510879256,-10839.540226343046,-13731.81106698304,-17466.321538230834,
12,-16337.006164858665,-15315.078734875256,-10571.296736315495,-10972.681444395392,-10739.89135258798,-10982.930281463665,-10851.625508050136,-11151.064358335507,-10841.290391933717,-13733.91293492507,-17481.660218416473,
13,-16340.87516954088,-15316.173081553237,-10573.153276888332,-10972.665385366778,-10740.81621895857,-10983.14412739006,-10851.635961086473,-11151.024583367262,-10843.263257628256,-13735.54270120001,-17481.456536723777,
14,-16343.274137123932,-15316.96230361713,-10574.242962611834,-10972.6538039,-10740.80502556858,-10983.29834901621,-10851.643499618007,-11150.99589841475,-10844.407487677101,-13736.827873788121,-17481.74329887843,
15,-16345.716414681365,-15317.531475597696,-10575.482427565174,-10972.64545156588,-10740.796953108082,-10983.40957072792,-10851.648936263964,-11150.975211371193,-10845.739704412446,-13737.860923840408,-17482.367601733702,
16,-16347.182653262998,-15317.94195163261,-10576.188361158931,-10972.63942802096,-10740.791131402715,-10983.489781716853,-10851.652857069914,-11150.961206213018,-10846.49039683715,-13738.70912709356,-17483.222495544927,
17,-16348.749592853595,-15318.237979087953,-10577.021986467798,-10972.635083922058,-10740.786932883218,-10983.547628303235,-10851.655684663814,-11150.953571921227,-10847.394516061153,-13739.421512219964,-17484.230471898674,
18,-16349.658136687745,-15318.451465685837,-10577.482102051517,-10972.631949814833,-10740.783904386832,-10983.589344002223,-10851.657723232276,-11150.948064884942,-10847.888857363183,-13740.033561316146,-17485.338479173664,
19,-16350.67883092157,-15301.95198172582,-10578.046702448255,-10972.629689556186,-10740.7817202927,-10983.61942857313,-10851.659193409178,-11150.944093314849,-10848.505551628956,-13740.571201194374,-17486.50908673281,
20,-16351.249284719739,-15302.063016548813,-10578.348375306356,-10972.628059500508,-10740.780145165429,-10983.641124995063,-10851.66025367288,-11150.941229093844,-10848.832369413109,-13741.05333408816,-17487.71646402748,
21,-16351.923466868811,-15302.1430927568,-10578.73330612464,-10972.626883935282,-10740.779009213526,-10983.656772043054,-10851.661018314946,-11150.939163472,-10849.255143409588,-13741.49375623944,-17505.643625179247,
22,-16352.28616090707,-15302.200842198892,-10578.932243207584,-10972.626036139962,-10740.778189986586,-10983.668056397268,-10851.661569760321,-11150.9376737847,-10849.472108535767,-13741.902549876108,-17506.878296318773,
23,-16352.737099971837,-15302.24249000099,-10579.196326433566,-10972.62542472604,-10740.777599175646,-10983.676194459502,-10851.661967452226,-11150.936599450491,-10849.763396435745,-13742.287093667903,-17508.111882471738,
24,-16352.970435036434,-15302.272525605784,-10579.328262384532,-10972.624983785921,-10740.777173094011,-10983.682063475639,-10851.662254260125,-11150.935824661026,-10849.908061181466,-13742.652796659402,-17509.33837076547,
25,-16353.27546418528,-15302.294186714196,-10579.510511944762,-10972.62466578827,-10740.776865812015,-10983.686296098766,-10851.662461100523,-11150.935265897571,-10850.109747195656,-13743.004705256477,-17510.554122254223,
26,-16353.42723783895,-15302.309808294636,-10579.598504314943,-10972.624436454415,-10740.776644206073,-10983.689348586278,-10851.662610269903,-11150.934862927976,-10850.206641067303,-13743.346555660883,-17511.75680632848,
27,-16353.63563855679,-15302.321074282117,-10579.7249821186,-10972.624271063181,-10740.776484388074,-10983.691549982374,-10851.662717848021,-11150.934572313938,-10850.346959488965,-13743.68007686891,-17519.0462955635,
28,-16353.800377995194,-15302.329199098558,-10579.825395643382,-10972.624151786156,-10740.776369130348,-10983.693137587503,-10851.662795431332,-11150.934362728613,-10850.458437992373,-13765.678280762722,-17524.981776199395,
29,-16353.881058402061,-15302.335058562048,-10579.873528531518,-10972.624065765816,-10740.776286008673,-10983.694282538194,-10851.662851382935,-11150.934211579644,-10850.511691168185,-13769.84433531527,-17562.68883720807,
30,-16353.99432810804,-15302.33928429598,-10579.943325318452,-10972.624003729612,-10740.7762260629,-10983.695108254919,-10851.662891734171,-11150.934102573889,-10850.589312055412,-13773.153699904115,-17566.77890538394,
31,-16354.048317364652,-15302.34233181509,-10579.976019665364,-10972.623958990254,-10740.776182831143,-10983.695703746153,-10851.662920834717,-11150.934023961005,-10850.625571538514,-13775.782572112888,-17601.563673173096,
32,-15847.406012058827,-15449.91030172286,-10530.648156622763,-10972.623926725075,-10758.684498137638,-10983.696133203153,-10851.662941821474,-11150.933967266883,-10841.532001421003,-13297.151305775573,-17558.29093114526,
33,-16246.784460235986,-15374.355172554417,-10501.647645642352,-10972.623903456046,-10760.955574955084,-10983.696442919392,-10851.662956956736,-11150.933926380141,-10836.141948563049,-12990.406414555098,-17494.016057579833,
34,-15124.766637635734,-10469.737114859228,-10994.25819880627,-10746.199971097432,-10983.692522314728,-10851.661743754355,-11151.108148112738,-10826.341863373655,-13060.493666047969,-17412.489851780116,,
35,-15133.54679904952,-14754.23121695967,-10423.153756020396,-10918.626455516747,-10747.791692020082,-10983.14628414296,-10851.50034659901,-11152.39772423293,-10805.591760713509,-12886.221345805274,-17299.661554644907,
36,-14949.171262800039,-15023.919842472307,-10407.404402822436,-10903.165934022345,-10750.089199431082,-10982.774538150297,-10846.699843756987,-11154.508532634565,-10825.5054535667,-13069.894437686733,-17259.250913175,
37,-14849.2431956649,-15022.859641608487,-10389.250416286626,-10904.371023073727,-10768.413924869157,-10982.869149814962,-10843.59170584783,-11155.68148930526,-10826.612128416826,-13383.669688633721,-17225.115514435955,
38,-14720.085677562472,-15021.773158590526,-10386.256818307302,-10899.852619356134,-10768.009117088348,-10984.23857194989,-10839.534228546276,-11157.255632734596,-10828.074122867252,-13739.686638319916,-17174.486210639454,
39,-14649.197216946186,-15020.986683196019,-10368.612046738697,-10908.963174914512,-10767.717059980632,-10984.952512875252,-10837.334867585965,-11158.080314200592,-10828.855074735975,-13976.999536777488,-17150.30785156505,
40,-14559.604214483656,-15001.6406949685,-10345.171629566734,-10912.332939815871,-10767.497486554377,-10985.920071067361,-10834.459392683702,-11179.521871102397,-10829.78029734269,-14203.822762027272,-17136.489219723495,
41,-14509.854310128121,-14981.733991391526,-10332.210822943414,-10892.453046283477,-10767.306722921416,-10986.319163669004,-10832.871462872523,-11179.384751518504,-10830.406520807725,-14355.652980550329,-17131.11116745537,
42,-14610.892154232846,-14964.588355147724,-10312.274490067932,-10957.35350506194,-10767.26425556362,-10987.284681372948,-10830.829476968844,-11179.521848080478,-10830.694338390223,-14345.665825331707,-17126.79339706189,
43,-14671.832076349261,-14964.587969379654,-10302.609562352956,-10957.462219610894,-10767.193778419389,-10987.528719823726,-10830.180316750288,-11179.521841123787,-10830.694338013096,-14331.256987494366,-17111.997039130936,
44,-14617.522190542219,-14748.681749517858,-14958.370097178498,-10290.202273873414,-10986.377646271128,-10766.893320345132,-10986.899600580535,-10829.476091032628,-11178.902442432543,-10830.554374903333,-17118.68352739969,
45,-14584.54689257313,-14798.163949687752,-14953.450643010829,-10283.064941919383,-10985.854933255741,-10766.659161044854,-11004.074992032576,-10829.006047123092,-11178.412385182472,-10830.443638514926,-17106.681563811042,
46,-14544.184775694486,-14839.892134835096,-14952.931744183534,-10292.118197246464,-10985.74446595187,-10766.611898378438,-11004.019046445776,-10828.956477882028,-11178.360704540195,-10830.431960817776,-17116.726391294003,
47,-14520.683938962375,-14878.019249653495,-14952.629597645546,-10287.071228342475,-10985.671140506587,-10766.580707129888,-11003.986472055509,-10828.92761620825,-11178.330613363518,-10830.425161513125,-17111.765003732693,
48,-14491.953599813482,-14910.117986404168,-14952.260262469594,-10280.89583221901,-10985.60493556727,-10766.55213268949,-11003.946649287862,-10828.892332091445,-11178.293826513764,-10830.416849113897,-17116.38338106563,
49,-14474.72077015815,-14924.715829888397,-14952.041327352275,-10277.236312438767,-10985.561342115569,-10766.533429315708,-11003.986595081082,-10828.702371970301,-11178.272020732406,-10830.411930384595,-14316.26510299988,-17106.838160612453
50,-14453.653073118663,-14979.315135954497,-14951.778225318254,-10272.835489969248,-10985.520622020962,-10766.003890229562,-11004.146414109877,-10828.176655804396,-11178.245813829779,-10830.406024924861,-14319.68762566656,-17111.583513981866
51,-14440.939080931876,-15029.42032694193,-14951.619439079994,-10270.180063603439,-10985.493983910801,-10765.680778100219,-11004.242748881437,-10827.859694608791,-11178.229997925366,-10830.402460985428,-14301.8252646177,-17097.370455206616
52,-14425.917185749131,-15076.676751614414,-14951.431829758158,-10267.041499552788,-10985.468330792304,-10765.309010871635,-11004.356886808697,-10827.484352476877,-11178.211310037332,-10830.39824983605,-14284.514530917699,-17086.47667856559
53,-14400.510941079474,-15114.659442047172,-14951.326466159686,-10265.045349786127,-10985.452468690673,-10765.079506265365,-11004.42815277806,-10827.254498798033,-11178.200814964943,-10830.395884874846,-14274.03854960485,-17073.223012681374
54,-14389.793975472028,-15151.221536317056,-14951.235541114105,-10262.512071890762,-10985.439712527172,-10764.819733993836,-11004.514882104639,-10826.98903253054,-11178.191757868999,-10830.393843908301,-14263.396836377457,-17062.341343613552
55,-14383.089205375163,-15181.820199381686,-14951.178654930702,-10260.927281742563,-10985.431278665019,-10764.656436312403,-11004.56911705409,-10826.823016764138,-11178.186091481251,-10830.392567019133,-14257.065598445588,-17049.692052792332
56,-14375.434591862557,-15211.84822005744,-14951.113714524992,-10259.117711632303,-10985.423088583306,-10764.472474996186,-11004.631114092921,-10826.633273306092,-11178.179622572423,-10830.391109286249,-17054.13344237989,
57,-14370.558741368186,-15238.428142159706,-14951.072347986727,-10257.965086841687,-10985.417663902554,-10764.354938233659,-11004.670593707287,-10826.512440300081,-11178.175501962913,-10830.390180729662,-17041.83378687383,
58,-14365.086596388197,-15264.493942855675,-14951.025924820775,-10256.671368384463,-10985.412289546563,-10764.224252838532,-11004.714940594515,-10826.376726385404,-11178.170877529645,-10830.389138639173,-17030.703202350942,
59,-14361.537836289925,-15288.378171431805,-14950.995818466992,-10255.83239181007,-10985.408710952517,-10764.139341464937,-11004.74369504347,-10826.288727606485,-11178.167878507928,-10830.388462826195,-17018.529424431126,
60,-14357.622392371057,-15311.835064032153,-14950.962602450914,-10254.906660212162,-10985.405116254617,-10764.046263713046,-11004.775439983718,-10826.191584827442,-11178.164569658975,-10830.387717195359,-17007.15341903875,
61,-14361.655639904277,-15326.076384310585,-14950.940673142177,-10254.295500818493,-10985.402702337928,-10763.984743995665,-11004.79639572856,-10826.127457179411,-11178.162385154403,-10830.387224929333,-16994.955409558475,
62,-14381.949546934791,-15308.26990258845,-14950.916885156354,-10253.632492593388,-10985.40025877572,-10763.91830894288,-11004.819137761788,-10826.057867164749,-11178.16001546635,-10830.38669093322,-16983.285022510365,
63,-14401.94343654867,-15307.397531382741,-14950.900899127031,-10253.186941768854,-10985.39859959027,-10763.873634033449,-11004.83441990122,-10826.011103841494,-11178.158422988814,-10830.386332077198,-16970.946788896385,
64,-14421.636394065263,-15306.499738001352,-14950.8838476883,-10252.711664073,-10985.396916259258,-10763.826128578607,-11004.850725840799,-10825.961209636778,-11178.15672433282,-10830.385949294454,-16958.921053369995,
65,-14441.263279507451,-15305.88314446501,-14950.872185293176,-10252.386597656423,-10985.395758218514,-10763.79362553282,-11004.86187797106,-10825.927085314652,-11178.15556253073,-10830.385687488772,-16946.33862294526,
66,-15027.675664962298,-15080.29481323108,-14956.730327872416,-10239.014504662562,-10985.911293710644,-10731.297185407977,-10974.530810728953,-10794.418580953472,-11178.739147830842,-10830.517477742265,-16833.698028678387,
67,-15285.020016023174,-15090.196174120503,-14960.14904304359,-10229.862604104099,-10986.21202621418,-10731.365689137645,-10974.995005932538,-10794.487487602833,-11179.07971856504,-10830.594435658371,-13869.308621762379,-16748.589057165307
68,-15094.482008859475,-15396.470481953533,-14962.523565127989,-10211.46504645917,-10986.420902875248,-10731.413266132147,-10975.317419970328,-10794.53534779372,-11179.316267294353,-10830.647887982508,-13812.609491816145,-16740.1738253381
69,-14809.895325573421,-15966.689547127124,-14964.586981399787,-10074.458681400016,-10986.60242009161,-10731.454623055475,-10975.597591873622,-10794.576937424452,-11179.521823814695,-10830.694337074747,-16759.936140451577,
70,-14882.726549501587,-16227.606599451396,-15046.965935840199,-10074.458687205472,-10986.602394694255,-10731.454575954158,-10975.597591873622,-10794.576937424452,-11179.521823814697,-10830.694337074752,-16547.21321020677,
71,-14764.052704680986,-16142.372208006844,-15064.69868758517,-10074.458691392256,-10986.602376378152,-10731.454541985571,-10975.597591873619,-10794.576937424452,-11179.521823814692,-10830.694337074752,-16345.673650244846,
72,-14487.376935127531,-16090.641575793801,-15051.481982232994,-10074.458694411676,-10986.602363168939,-10731.454517488093,-10975.597591873619,-10794.576937424446,-11179.521823814694,-10830.694337074752,-16220.158688176423,
73,-14638.50552815251,-16085.450868028489,-15044.627794269996,-10074.458696589221,-10986.602353642698,-10731.454499820957,-10975.597591873624,-10794.576937424452,-11179.521823814699,-10830.694337074752,-16017.469002743412,
74,-14816.691517080739,-16483.909393599613,-15010.249932115203,-10074.458698159648,-10986.602346772554,-10731.454487079758,-10975.597591873622,-10794.576937424446,-11179.521823814692,-10830.694337074752,-15334.425906899867,
75,-14771.32562809028,-16440.691690713567,-15269.5897772387,-10074.458699292187,-10986.60234181794,-10731.454477891059,-10975.597591873622,-10794.576937424446,-11179.521823814694,-10830.694337074747,-15201.731482465731,
76,-14742.447167292265,-16413.502408813478,-15489.235364201695,-10074.45870010894,-10986.602338244767,-10731.454471264336,-10975.597591873628,-10794.576937424446,-11179.521823814703,-10830.694337074758,-15042.948452118466,
77,-14714.503974278725,-16382.778182535712,-15487.381264061341,-10074.458700697975,-10986.602335667852,-10731.454466485262,-10975.597591873624,-10794.576937424446,-11179.521823814697,-10830.694337074761,-14815.923946875599,
78,-14756.339265248116,-16398.648530316757,-10074.458701122832,-10986.602333809442,-10731.454463038692,-10975.597591873619,-10794.576937424452,-11179.521823814695,-10830.694337074758,-14450.428336272977,,
79,-14724.361905800153,-16860.75621039128,-10074.458701429174,-10986.602332469189,-10744.12706876222,-10989.439671438698,-10794.576937424452,-11179.521823814694,-10830.694337074752,-14097.26637476842,,
80,-14716.58410727522,-17004.496604056563,-10074.458701650134,-10986.602331502625,-10744.268060648348,-10989.383605622785,-10794.576937424452,-11179.521823814694,-10830.694337074752,-14028.086486551878,,
81,-14708.835968754584,-17327.053331993582,-10092.436015513891,-10986.648526720885,-10744.251406293379,-10989.465708412978,-10794.587519882813,-11158.415816390463,-10830.706156020393,-13803.306228395082,,
82,-14703.746389973403,-17499.245583565116,-10145.687438384795,-10986.785202526975,-10744.241622723897,-10989.69291752179,-10794.618829390087,-11158.577600704168,-10830.741123827665,-13618.830723152672,,
83,-14698.921655355844,-17499.184404010248,-10142.049499916297,-10986.776802656223,-10744.23711401817,-10989.591914153754,-10794.599452650027,-11158.339025888845,-10830.79018394189,-13742.047734392954,,
84,-14698.182500067827,-17499.159369827532,-10142.049499976058,-10986.776802394754,-10744.232636364173,-10989.593694489871,-10794.599452650027,-11158.339025888847,-10830.79018394189,-13742.807312943969,,
85,-14697.64943592634,-17499.139390056564,-10142.049500019164,-10986.776802206197,-10744.231284932064,-10989.594231744717,-10794.599452650027,-11158.339025888841,-10830.790183941886,-13743.356694557662,,
86,-14697.265000179965,-17499.10751522913,-10142.049500050254,-10986.776802070213,-10744.229566886652,-10989.594914821282,-10794.599452650027,-11158.339025888847,-10830.79018394189,-13743.7705061693,,
87,-14696.987752412611,-17499.094405194257,-10142.049500072666,-10986.776801972137,-10744.227711472753,-10989.59565255009,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.059168211124,,
88,-14696.787806582308,-17499.08393198841,-10142.049500088835,-10986.776801901411,-10744.227366752164,-10989.595789575287,-10794.599452650027,-11158.33902588885,-10830.790183941885,-13744.268186018991,,
89,-14696.643609442564,-17499.067139526418,-10142.04950010049,-10986.7768018504,-10744.226724879956,-10989.596044776694,-10794.599452650027,-11158.339025888841,-10830.79018394189,-13744.428240310968,,
90,-14696.539617200866,-17499.06025403627,-10142.049500108898,-10986.776801813616,-10744.22593587663,-10989.596358494946,-10794.599452650027,-11158.339025888847,-10830.79018394189,-13744.538499825783,,
