,0,1,2,3,4,5,6,7,8,9,10,11
0,-693.1483499474131,-2838.318492592329,-4420.686109133691,-4414.314000813422,-6338.518737484636,-3436.3567824308357,-4746.636139114419,-4391.861060808615,-7281.032498177254,-5051.233591852311,-0.014862129337864086,-0.014861178989416121
1,-2957.7563824203507,-2838.016979406676,-4414.814001339505,-6019.034074378488,-3436.8567831368628,-5064.791660700993,-5030.090422306703,-7282.250029678956,-5052.170940035631,-0.014862129337864086,-2248.8533448883,
2,-3984.620705021939,-2837.711749789586,-4403.462180230875,-6018.8831384872165,-3425.5049620341997,-5050.9531121669015,-5019.476575629689,-7271.549161527786,-5040.827001072712,-964.062357793233,-2586.101256905291,
3,-4356.77963115157,-2837.5561507252273,-4392.716417206567,-6018.655934649733,-3414.7591990145356,-5038.456530696713,-5008.730812423817,-6943.03532733367,-5030.074765791814,-969.0544200008104,-2920.246812062196,
4,-5039.9857195865725,-2837.344062862501,-4415.591696255577,-6019.100815367157,-3437.6344780569157,-5378.773803545721,-5031.606091474649,-7284.486852565059,-5052.945576485871,-973.1930262470511,-3571.3164388632567,
5,-5076.73253186907,-3201.068345888607,-4452.338508499592,-6381.629179652127,-3474.381290290855,-5096.179922280536,-5068.352903719986,-7321.477877061711,-5089.685720834166,-976.9387026895714,-3263.709285845296,
6,-5107.270958662155,-3881.6656560696415,-4801.320429483162,-6424.189640520821,-3823.434815999583,-5436.5247961612085,-5098.891330475573,-7351.9553271156,-5120.215896368089,-980.3608162304039,-3917.9719976245715,
7,-5128.364257588407,-3894.355658404971,-5141.5010853751955,-6451.426552856576,-3844.528114897987,-5436.094328960776,-5104.781156187146,-7373.048626016842,-5460.34021492965,-982.615378676158,-4246.9782963999805,
8,-5142.517943001833,-3894.4243177703656,-5155.654770772007,-6462.901424333217,-4177.196899248668,-5435.783884182322,-5104.795898501225,-7377.9678386968435,-5474.492279839697,-984.8521657827513,-4575.696981473484,
9,-5477.023909469176,-3894.387707048254,-5170.922396752701,-6462.662021179745,-4192.464525227167,-5435.559997297622,-5104.807833928231,-7378.063195594913,-5489.758284650795,-986.8477859075123,-4584.099677910472,
